time_iso8601,stars_cumulative
2019-09-04 00:00:00+00:00,1222
2019-09-05 00:00:00+00:00,1226
2019-09-06 00:00:00+00:00,1228
2019-09-08 00:00:00+00:00,1229
2019-09-09 00:00:00+00:00,1231
2019-09-10 00:00:00+00:00,1236
2019-09-11 00:00:00+00:00,1239
2019-09-12 00:00:00+00:00,1241
2019-09-13 00:00:00+00:00,1242
2019-09-14 00:00:00+00:00,1243
2019-09-17 00:00:00+00:00,1246
2019-09-18 00:00:00+00:00,1248
2019-09-19 00:00:00+00:00,1250
2019-09-20 00:00:00+00:00,1251
2019-09-22 00:00:00+00:00,1253
2019-09-24 00:00:00+00:00,1254
2019-09-25 00:00:00+00:00,1256
2019-09-26 00:00:00+00:00,1257
2019-09-29 00:00:00+00:00,1259
2019-09-30 00:00:00+00:00,1261
2019-10-02 00:00:00+00:00,1262
2019-10-03 00:00:00+00:00,1263
2019-10-06 00:00:00+00:00,1265
2019-10-07 00:00:00+00:00,1266
2019-10-08 00:00:00+00:00,1267
2019-10-09 00:00:00+00:00,1269
2019-10-10 00:00:00+00:00,1270
2019-10-11 00:00:00+00:00,1272
2019-10-13 00:00:00+00:00,1274
2019-10-14 00:00:00+00:00,1276
2019-10-15 00:00:00+00:00,1277
2019-10-16 00:00:00+00:00,1278
2019-10-17 00:00:00+00:00,1281
2019-10-18 00:00:00+00:00,1284
2019-10-19 00:00:00+00:00,1285
2019-10-20 00:00:00+00:00,1286
2019-10-21 00:00:00+00:00,1288
2019-10-22 00:00:00+00:00,1291
2019-10-24 00:00:00+00:00,1292
2019-10-25 00:00:00+00:00,1293
2019-10-28 00:00:00+00:00,1295
2019-10-29 00:00:00+00:00,1298
2019-10-30 00:00:00+00:00,1299
2019-10-31 00:00:00+00:00,1301
2019-11-01 00:00:00+00:00,1305
2019-11-02 00:00:00+00:00,1306
2019-11-05 00:00:00+00:00,1307
2019-11-06 00:00:00+00:00,1309
2019-11-07 00:00:00+00:00,1310
2019-11-08 00:00:00+00:00,1312
2019-11-09 00:00:00+00:00,1313
2019-11-11 00:00:00+00:00,1314
2019-11-12 00:00:00+00:00,1319
2019-11-13 00:00:00+00:00,1321
2019-11-15 00:00:00+00:00,1323
2019-11-16 00:00:00+00:00,1325
2019-11-17 00:00:00+00:00,1326
2019-11-18 00:00:00+00:00,1331
2019-11-19 00:00:00+00:00,1333
2019-11-20 00:00:00+00:00,1335
2019-11-21 00:00:00+00:00,1337
2019-11-22 00:00:00+00:00,1339
2019-11-25 00:00:00+00:00,1340
