time_iso8601,forks_cumulative
2022-01-21 00:00:00+00:00,519
2022-01-24 00:00:00+00:00,521
2022-01-25 00:00:00+00:00,522
2022-01-27 00:00:00+00:00,523
2022-02-08 00:00:00+00:00,524
2022-02-09 00:00:00+00:00,525
2022-02-10 00:00:00+00:00,526
2022-02-11 00:00:00+00:00,528
2022-02-19 00:00:00+00:00,530
2022-02-21 00:00:00+00:00,531
2022-02-22 00:00:00+00:00,533
2022-02-24 00:00:00+00:00,534
2022-02-25 00:00:00+00:00,536
2022-03-04 00:00:00+00:00,537
2022-03-06 00:00:00+00:00,538
2022-03-08 00:00:00+00:00,539
2022-03-09 00:00:00+00:00,541
2022-03-10 00:00:00+00:00,542
2022-03-11 00:00:00+00:00,543
2022-03-14 00:00:00+00:00,545
2022-03-16 00:00:00+00:00,547
2022-03-19 00:00:00+00:00,548
2022-03-21 00:00:00+00:00,549
2022-03-24 00:00:00+00:00,550
2022-03-29 00:00:00+00:00,551
2022-03-31 00:00:00+00:00,553
2022-04-03 00:00:00+00:00,554
2022-04-05 00:00:00+00:00,555
2022-04-06 00:00:00+00:00,556
2022-04-09 00:00:00+00:00,557
2022-04-10 00:00:00+00:00,558
2022-04-14 00:00:00+00:00,560
2022-04-18 00:00:00+00:00,561
2022-04-19 00:00:00+00:00,562
2022-04-24 00:00:00+00:00,563
2022-04-26 00:00:00+00:00,564
2022-04-27 00:00:00+00:00,566
2022-04-28 00:00:00+00:00,570
2022-05-02 00:00:00+00:00,572
2022-05-07 00:00:00+00:00,574
2022-05-09 00:00:00+00:00,576
2022-05-11 00:00:00+00:00,577
2022-05-12 00:00:00+00:00,579
2022-05-16 00:00:00+00:00,580
2022-05-17 00:00:00+00:00,582
2022-05-18 00:00:00+00:00,583
2022-05-20 00:00:00+00:00,585
2022-05-21 00:00:00+00:00,586
2022-05-23 00:00:00+00:00,587
2022-05-24 00:00:00+00:00,588
2022-05-29 00:00:00+00:00,589
2022-05-30 00:00:00+00:00,590
2022-05-31 00:00:00+00:00,591
2022-06-02 00:00:00+00:00,592
2022-06-06 00:00:00+00:00,595
2022-06-07 00:00:00+00:00,596
2022-06-08 00:00:00+00:00,597
2022-06-13 00:00:00+00:00,599
2022-06-14 00:00:00+00:00,600
2022-06-15 00:00:00+00:00,601
2022-06-16 00:00:00+00:00,602
2022-06-17 00:00:00+00:00,603
2022-06-22 00:00:00+00:00,604
2022-06-24 00:00:00+00:00,606
2022-06-25 00:00:00+00:00,607
2022-06-29 00:00:00+00:00,608
2022-06-30 00:00:00+00:00,609
2022-07-04 00:00:00+00:00,611
2022-07-12 00:00:00+00:00,612
2022-07-15 00:00:00+00:00,614
2022-07-18 00:00:00+00:00,615
2022-07-19 00:00:00+00:00,618
2022-07-20 00:00:00+00:00,619
2022-07-21 00:00:00+00:00,621
2022-07-22 00:00:00+00:00,623
2022-07-26 00:00:00+00:00,625
2022-07-27 00:00:00+00:00,628
2022-08-01 00:00:00+00:00,629
2022-08-08 00:00:00+00:00,631
2022-08-10 00:00:00+00:00,632
2022-08-21 00:00:00+00:00,633
2022-08-22 00:00:00+00:00,634
